<TICKER>,<PER>,<DATE>,<TIME>,<CLOSE>
YNDX,D,21/07/17,00:00,1856.0000000
YNDX,D,24/07/17,00:00,1916.0000000
YNDX,D,25/07/17,00:00,1906.0000000
YNDX,D,26/07/17,00:00,1899.5000000
YNDX,D,27/07/17,00:00,1888.5000000
YNDX,D,28/07/17,00:00,1754.5000000
YNDX,D,31/07/17,00:00,1743.0000000
YNDX,D,01/08/17,00:00,1746.5000000
YNDX,D,02/08/17,00:00,1719.0000000
YNDX,D,03/08/17,00:00,1744.0000000
YNDX,D,04/08/17,00:00,1770.5000000
YNDX,D,07/08/17,00:00,1795.5000000
YNDX,D,08/08/17,00:00,1792.5000000
YNDX,D,09/08/17,00:00,1835.5000000
YNDX,D,10/08/17,00:00,1786.0000000
YNDX,D,11/08/17,00:00,1731.5000000
YNDX,D,14/08/17,00:00,1765.5000000
YNDX,D,15/08/17,00:00,1798.0000000
YNDX,D,16/08/17,00:00,1818.0000000
YNDX,D,17/08/17,00:00,1832.0000000
YNDX,D,18/08/17,00:00,1785.0000000
YNDX,D,21/08/17,00:00,1769.0000000
YNDX,D,22/08/17,00:00,1756.0000000
YNDX,D,23/08/17,00:00,1765.0000000
YNDX,D,24/08/17,00:00,1768.0000000
YNDX,D,25/08/17,00:00,1757.0000000
YNDX,D,28/08/17,00:00,1725.5000000
YNDX,D,29/08/17,00:00,1743.0000000
YNDX,D,30/08/17,00:00,1728.5000000
YNDX,D,31/08/17,00:00,1752.0000000
YNDX,D,01/09/17,00:00,1820.0000000
YNDX,D,04/09/17,00:00,1833.0000000
YNDX,D,05/09/17,00:00,1863.0000000
YNDX,D,06/09/17,00:00,1843.0000000
YNDX,D,07/09/17,00:00,1820.0000000
YNDX,D,08/09/17,00:00,1865.5000000
YNDX,D,11/09/17,00:00,1867.0000000
YNDX,D,12/09/17,00:00,1903.5000000
YNDX,D,13/09/17,00:00,1876.0000000
YNDX,D,14/09/17,00:00,1858.0000000
YNDX,D,15/09/17,00:00,1895.0000000
YNDX,D,18/09/17,00:00,1893.5000000
YNDX,D,19/09/17,00:00,1872.5000000
YNDX,D,20/09/17,00:00,1872.0000000
YNDX,D,21/09/17,00:00,1872.0000000
YNDX,D,22/09/17,00:00,1922.0000000
YNDX,D,25/09/17,00:00,1853.0000000
YNDX,D,26/09/17,00:00,1848.0000000
YNDX,D,27/09/17,00:00,1867.0000000
YNDX,D,28/09/17,00:00,1856.5000000
YNDX,D,29/09/17,00:00,1873.0000000
YNDX,D,02/10/17,00:00,1906.5000000
YNDX,D,03/10/17,00:00,1961.0000000
YNDX,D,04/10/17,00:00,1942.5000000
YNDX,D,05/10/17,00:00,1925.0000000
YNDX,D,06/10/17,00:00,1893.0000000
YNDX,D,09/10/17,00:00,1920.0000000
YNDX,D,10/10/17,00:00,1840.0000000
YNDX,D,11/10/17,00:00,1855.5000000
YNDX,D,12/10/17,00:00,1863.0000000
YNDX,D,13/10/17,00:00,1858.0000000
YNDX,D,16/10/17,00:00,1832.0000000
YNDX,D,17/10/17,00:00,1833.0000000
YNDX,D,18/10/17,00:00,1852.0000000
YNDX,D,19/10/17,00:00,1839.5000000
YNDX,D,20/10/17,00:00,1796.0000000
YNDX,D,23/10/17,00:00,1799.0000000
YNDX,D,24/10/17,00:00,1889.0000000
YNDX,D,25/10/17,00:00,1855.0000000
YNDX,D,26/10/17,00:00,1896.0000000
YNDX,D,27/10/17,00:00,1921.0000000
YNDX,D,30/10/17,00:00,1898.0000000
YNDX,D,31/10/17,00:00,1950.0000000
YNDX,D,01/11/17,00:00,1991.5000000
YNDX,D,02/11/17,00:00,1932.0000000
YNDX,D,03/11/17,00:00,1965.0000000
YNDX,D,07/11/17,00:00,1950.5000000
YNDX,D,08/11/17,00:00,1935.5000000
YNDX,D,09/11/17,00:00,1890.0000000
YNDX,D,10/11/17,00:00,1856.5000000
YNDX,D,13/11/17,00:00,1860.0000000
YNDX,D,14/11/17,00:00,1890.0000000
YNDX,D,15/11/17,00:00,1873.0000000
YNDX,D,16/11/17,00:00,1925.5000000
YNDX,D,17/11/17,00:00,1949.5000000
YNDX,D,20/11/17,00:00,2002.5000000
YNDX,D,21/11/17,00:00,2038.0000000
